energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.56,0.145,74.977,0.0367,0.548,3.56e-05,4,0.566,3,239382,-6.496,0.251,1,audio_features,spotify:track:0Vt8ZktardVzJNUSk95nIE
0.8,0.137,175.815,0.162,0.21,0.000123,4,0.627,1,217573,-6.945,0.912,1,audio_features,spotify:track:2EVv4Vxu3HGPr32CQecgHx
0.703,0.0798,191.957,0.066,0.000964,7.55e-05,4,0.478,10,202760,-4.665,0.483,0,audio_features,spotify:track:4TZZvblv2yzLIBk2JwJ6Un
0.687,0.0878,94.011,0.0309,0.029,0.408,4,0.618,2,187660,-6.248,0.713,1,audio_features,spotify:track:1iWmlfA3u3Ri505MuxhVr0
0.998,0.553,127.427,0.272,0.268,0.635,4,0.477,7,166987,-2.419,0.0848,1,audio_features,spotify:track:0zeStHAux6LSeWSdY5G3LM
0.951,0.316,110.011,0.0478,0.000254,0.12,4,0.528,7,216987,-5.272,0.379,1,audio_features,spotify:track:6a22AR7poxHWGYTVIVdv6q
0.855,0.43,176.179,0.113,0.345,1.35e-05,4,0.625,1,217427,-5.157,0.904,1,audio_features,spotify:track:3ne8ipFCs7RUr2K6QoD6BQ
0.607,0.0986,120.044,0.0897,0.0049,0.0,4,0.829,1,187067,-3.876,0.766,1,audio_features,spotify:track:4AboqNl74jNDpJhPfqYDmj
0.877,0.0607,91.994,0.0628,0.111,1.78e-06,4,0.71,2,167293,-4.921,0.85,1,audio_features,spotify:track:40et7qQsExZbORdbXtR034
0.732,0.196,125.009,0.0937,0.154,0.0,4,0.753,11,210627,-2.399,0.694,0,audio_features,spotify:track:6QOa1PLDUp54tzJHH1vnsf
0.677,0.0732,101.868,0.283,0.0778,0.0,4,0.884,1,263227,-5.603,0.584,1,audio_features,spotify:track:3jagJCUbdqhDSPuxP8cAqF
0.799,0.126,142.033,0.0301,0.0199,0.0,4,0.619,0,256307,-4.642,0.605,1,audio_features,spotify:track:45ou2UBThJA4WtFGIiYLI3
